"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"47",0.07,4,1,0.8,0.1,0.6,150,1.31118953240066,0.997962512024951,0.958440484615543,0.189198550789591,0.000530568160397543,0.10014279571137
"5",0.01,5,1,0.8,0.1,0.6,150,25.130950905466,0.987978977412293,23.8454304063,0.282813750562284,0.0020201180444318,0.331760314076031
"14",0.03,5,1,0.8,0.1,0.6,150,2.02160356624493,0.99749538747819,1.59056532758898,0.190032269294701,0.000364385375013005,0.12337070081145
"23",0.04,5,1,0.8,0.1,0.6,150,1.43815341569463,0.997793915881757,1.07694597938508,0.129860219483023,0.000375302409051215,0.0546649222750658
"32",0.05,5,1,0.8,0.1,0.6,150,1.33962517478334,0.997923451777714,0.994111799638671,0.137865722758468,0.000424169628921631,0.128147031772385
"41",0.06,5,1,0.8,0.1,0.6,150,1.23941899878879,0.998205392043863,0.895479833612462,0.145479018663092,0.000367426560094196,0.045864579340185
"50",0.07,5,1,0.8,0.1,0.6,150,1.22495500346726,0.998258085967665,0.904663167729196,0.0914648314966624,0.000215521883092859,0.0478517813776793
"8",0.01,7,1,0.8,0.1,0.6,150,25.1456737727534,0.987950450074004,23.885681104393,0.261066824887855,0.00221025999285377,0.28388945108656
"17",0.03,7,1,0.8,0.1,0.6,150,2.12987299734854,0.997009484030761,1.66560909261122,0.17544643535459,0.000653334479191955,0.0987222225837798
"26",0.04,7,1,0.8,0.1,0.6,150,1.5202031695123,0.997521965001809,1.12868511414689,0.22022082440033,0.000738322914826212,0.0810670126532648
"35",0.05,7,1,0.8,0.1,0.6,150,1.2682274527775,0.99816367483431,0.940137413895099,0.100419079271278,0.000290102617665902,0.0380729717022231
"44",0.06,7,1,0.8,0.1,0.6,150,1.26478287278576,0.998130639218432,0.925280785216296,0.225391147352554,0.000618325838792373,0.0916866627834519
"53",0.07,7,1,0.8,0.1,0.6,150,1.30575025227533,0.99801226390609,0.951485850106219,0.135774682969183,0.000375355142391166,0.105829948602826
"3",0.01,4,1,0.8,0.1,0.6,200,15.5432967734141,0.990972379174983,14.5750820482582,0.194316456341019,0.00180762334197631,0.243049012899892
"12",0.03,4,1,0.8,0.1,0.6,200,1.39351971728926,0.99791109250879,1.01692055017239,0.138195374563961,0.000352412885262878,0.0633022375782151
"21",0.04,4,1,0.8,0.1,0.6,200,1.34484536493597,0.997904155603469,0.984560764570205,0.169432022671116,0.000483814663020044,0.0563427094118817
"30",0.05,4,1,0.8,0.1,0.6,200,1.25294019631985,0.998163224555917,0.92304579366318,0.116008553707235,0.000324366074239049,0.0651398882991909
"39",0.06,4,1,0.8,0.1,0.6,200,1.323638827691,0.997925849598306,0.960992578247322,0.200973187658739,0.00057488874885532,0.136733573296227
"48",0.07,4,1,0.8,0.1,0.6,200,1.27292951783711,0.9980772387222,0.931428491517642,0.183758194782501,0.000500148646225728,0.0968337059460921
"6",0.01,5,1,0.8,0.1,0.6,200,15.5504395882126,0.990947715513418,14.5659152650707,0.185006162247574,0.00154099915897903,0.247940441302029
"15",0.03,5,1,0.8,0.1,0.6,200,1.35438176839557,0.998047489026607,0.995891038527574,0.11806309672921,0.000249304058935937,0.0561307621442735
"24",0.04,5,1,0.8,0.1,0.6,200,1.29561971675087,0.998066227346604,0.959948425000655,0.125479607738713,0.000354140868402301,0.0657772402638986
"33",0.05,5,1,0.8,0.1,0.6,200,1.26073458379954,0.998137712426052,0.934588195031771,0.13246939381717,0.000386022185649713,0.117602397221986
"42",0.06,5,1,0.8,0.1,0.6,200,1.20671675133588,0.998298727757767,0.871605027758404,0.139692140019682,0.000339496794189389,0.0416810110465198
"51",0.07,5,1,0.8,0.1,0.6,200,1.2099785434713,0.998301232638459,0.892904447504387,0.0960097873672009,0.000226800044691798,0.0499136070561061
"9",0.01,7,1,0.8,0.1,0.6,200,15.5425086635241,0.990973924154069,14.5997841641364,0.155251495375953,0.00154567563727804,0.205820084860703
"18",0.03,7,1,0.8,0.1,0.6,200,1.45390112797115,0.997724252435758,1.05902634628255,0.190796462488653,0.000554585366752555,0.0916896899669632
"27",0.04,7,1,0.8,0.1,0.6,200,1.36239021474036,0.997842994621662,1.00283313057537,0.212487506420824,0.000643053379426319,0.087629416361558
"36",0.05,7,1,0.8,0.1,0.6,200,1.21373588844653,0.99829519901485,0.897492791515095,0.100908480119625,0.000269880858976312,0.0424929550446407
"45",0.06,7,1,0.8,0.1,0.6,200,1.24118687763946,0.998200215412187,0.905716618077789,0.218586523033887,0.000583743923365885,0.0889514903648114
"54",0.07,7,1,0.8,0.1,0.6,200,1.29313165278176,0.998048203489222,0.941948059727371,0.135336188288821,0.000373797672813251,0.104771685125994
